,timestep,reward
0,1.0,19.562004793144347
1,2.0,28.368281888413694
2,3.0,32.28829835540908
3,4.0,35.11657903387221
4,5.0,34.720180763883214
5,6.0,30.959081145169502
6,7.0,26.256305929575934
7,8.0,23.000733045192916
8,9.0,20.961466221695833
9,10.0,19.294173416283172
10,11.0,17.422498350851544
11,12.0,15.65325125074258
12,13.0,14.639285928269826
13,14.0,13.823078452063497
14,15.0,12.112865588165231
15,16.0,9.891108065182593
16,17.0,8.230695526315888
17,18.0,6.299873352227251
18,19.0,4.489018581671878
19,20.0,2.5916457555983454
20,21.0,-0.038252193768148146
21,22.0,-2.319690587575902
22,23.0,-4.894868430968902
23,24.0,-6.758960277295575
24,25.0,-8.486110029576153
25,26.0,-9.907595913033349
26,27.0,-11.540602941039186
27,28.0,-13.062620906297
28,29.0,-15.016620593836961
29,30.0,-16.530179211244487
30,31.0,-17.615454961901143
31,32.0,-19.506316668896776
32,33.0,-21.264829028440463
33,34.0,-22.35023147633686
34,35.0,-24.280980037992542
35,36.0,-26.4238774022456
36,37.0,-27.874732000745006
37,38.0,-29.712382037247806
38,39.0,-30.851956580560675
39,40.0,-32.282530438369406
40,41.0,-33.47228998066818
41,42.0,-35.09120846531393
42,43.0,-36.55753387215205
43,44.0,-37.84058154209762
44,45.0,-38.99614676032106
45,46.0,-40.244154351494075
46,47.0,-41.63266013932805
47,48.0,-42.858862898627024
48,49.0,-44.89092687543716
49,50.0,-46.85637813082936
50,51.0,-47.984924143912515
51,52.0,-49.98385364496449
52,53.0,-51.27611854792213
53,54.0,-52.99500964217434
54,55.0,-54.32256344233901
55,56.0,-56.08329406973099
56,57.0,-57.74780881161616
57,58.0,-59.51845816759693
58,59.0,-60.80335266975091
59,60.0,-62.12062766776074
60,61.0,-63.69564014526967
61,62.0,-64.96898558191015
62,63.0,-66.48708926891987
63,64.0,-67.75848109877614
64,65.0,-68.6149891345198
65,66.0,-69.89551700922942
66,67.0,-71.55992225763964
67,68.0,-72.51627530255854
68,69.0,-73.76778716011526
69,70.0,-74.83826081721303
70,71.0,-76.30366228417198
71,72.0,-78.30923951055193
72,73.0,-80.19388934127585
73,74.0,-82.32498283048534
74,75.0,-84.16222551302533
75,76.0,-86.40298358264205
76,77.0,-88.73934690288878
77,78.0,-90.77534082911798
78,79.0,-92.53032660783954
79,80.0,-94.05986018856986
80,81.0,-95.88912538571341
81,82.0,-97.25918472352349
82,83.0,-99.01415486991765
83,84.0,-100.62182932009281
84,85.0,-101.6180104109989
85,86.0,-102.71343858264045
86,87.0,-103.96086997439718
87,88.0,-105.53480230873818
88,89.0,-106.38105471993558
89,90.0,-107.92877415318343
90,91.0,-109.55200112012618
91,92.0,-110.89892403809638
92,93.0,-112.21425265539294
93,94.0,-113.85902593307888
94,95.0,-115.33883761821136
95,96.0,-116.50918887411414
96,97.0,-118.2326893511346
97,98.0,-119.25360246209749
98,99.0,-120.90913535700652
99,100.0,-122.87747082577818
100,101.0,-124.24008084475314
101,102.0,-125.68483703768842
102,103.0,-127.09250359849078
103,104.0,-129.06151200836524
104,105.0,-130.4369727968281
105,106.0,-131.68718339792932
106,107.0,-132.99514133820398
107,108.0,-134.09857356033854
108,109.0,-136.13086312161136
109,110.0,-137.47226059520585
110,111.0,-138.79292567566424
111,112.0,-140.22780349855057
112,113.0,-141.85808324509813
113,114.0,-143.75623111628377
114,115.0,-145.41781182174265
115,116.0,-146.59865542506213
116,117.0,-148.23361691733606
117,118.0,-149.7339381105942
118,119.0,-151.55214313048583
119,120.0,-153.1640730175347
120,121.0,-154.17425883108933
121,122.0,-155.85163922291284
122,123.0,-157.75366473706598
123,124.0,-159.59257933038742
124,125.0,-160.9089056306591
125,126.0,-162.35390372020453
126,127.0,-163.6230904224662
127,128.0,-165.52958116948588
128,129.0,-167.39830639876106
129,130.0,-168.73223610722317
130,131.0,-170.78462749889837
131,132.0,-172.07072066824583
132,133.0,-173.73122752757172
133,134.0,-174.8639446023685
134,135.0,-176.11919448277507
135,136.0,-177.82451074631544
136,137.0,-179.19126428929573
137,138.0,-180.6757166586127
138,139.0,-182.43598268979812
139,140.0,-184.36265072492728
140,141.0,-186.39977266336
141,142.0,-187.78149482022167
142,143.0,-189.53544952811455
143,144.0,-190.92682716416215
144,145.0,-192.5451112827658
145,146.0,-193.96290580955332
146,147.0,-195.51096315649457
147,148.0,-196.6825294845405
148,149.0,-198.68324436935995
149,150.0,-200.17241612575992
150,151.0,-201.359834383355
151,152.0,-203.20886793025386
152,153.0,-204.3686807069523
153,154.0,-205.43025732853488
154,155.0,-206.9617614286596
155,156.0,-208.1452092257657
156,157.0,-209.67373622352483
157,158.0,-211.55970534520372
158,159.0,-212.59628279887795
159,160.0,-213.99420459154965
160,161.0,-215.85954980076176
161,162.0,-217.34473242362333
162,163.0,-218.34242600797913
163,164.0,-219.93948066672428
164,165.0,-221.79873146133946
165,166.0,-223.79004812179738
166,167.0,-224.99429141507903
167,168.0,-226.53368357147826
168,169.0,-227.57032636122318
169,170.0,-228.71302726770568
170,171.0,-230.56667280657086
171,172.0,-232.36097413738565
172,173.0,-233.9899188670562
173,174.0,-235.6163417269189
174,175.0,-236.87717515040157
175,176.0,-238.6164836994983
176,177.0,-240.26489794369633
177,178.0,-242.130001691762
178,179.0,-243.97341423035988
179,180.0,-245.89410524896
180,181.0,-247.27976010023667
181,182.0,-249.06972605488943
182,183.0,-250.80226851354837
183,184.0,-252.7789760464634
184,185.0,-253.8802261727746
185,186.0,-255.52595861968967
186,187.0,-256.7441300448604
187,188.0,-257.7442168764403
188,189.0,-259.4361477693153
189,190.0,-260.67923880769814
190,191.0,-261.92571596241277
191,192.0,-263.4968532743786
192,193.0,-264.5285400820274
193,194.0,-266.16731301692056
194,195.0,-267.82391946167405
195,196.0,-268.5067016994799
196,197.0,-269.2160515160805
197,198.0,-270.0013695910145
198,199.0,-270.8057518558459
199,200.0,-271.94585426195346
200,201.0,-273.0088839834296
201,202.0,-274.4236766075872
202,203.0,-275.66669374721016
203,204.0,-276.37137620886284
204,205.0,-277.5590677632021
205,206.0,-278.3407159216868
206,207.0,-279.5086800426496
207,208.0,-280.68760363281274
208,209.0,-281.6388975527491
209,210.0,-282.8378004108885
210,211.0,-283.9904566545935
211,212.0,-285.3922035018045
212,213.0,-287.1188426077539
213,214.0,-288.30218840362204
214,215.0,-289.9347734658169
215,216.0,-291.38079725272996
216,217.0,-292.9924327478844
217,218.0,-293.89895196613077
218,219.0,-295.13481170028786
219,220.0,-296.10943648920545
220,221.0,-297.39749356846914
221,222.0,-299.11236703423504
222,223.0,-301.09768120806643
223,224.0,-303.12871469385027
224,225.0,-304.79051523148536
225,226.0,-306.27080911230064
226,227.0,-308.0638332364075
227,228.0,-310.02598534399294
