,timestep,reward
0,1,-23.626360207811036
1,2,14.03096597209267
2,3,-15.699010860133447
3,4,-1.1462270172975466
4,5,-5.234922143832984
5,6,-2.43080745295574
6,7,-1.423175975703269
7,8,1.7698307236069208
8,9,8.684918202706404
9,10,5.256563121774023
10,11,-4.771340472961349
11,12,-2.8786346756357633
12,13,-2.424279924002656
13,14,-2.2061401965549075
14,15,-4.473709486387701
15,16,-5.0349437175238005
16,17,-5.021630332065042
17,18,-4.697981872746398
18,19,-5.003290620314283
19,20,-5.5621359330664175
20,21,-6.208681374746304
21,22,-6.038235323094176
22,23,-4.79321897868714
23,24,-2.4352238968784987
24,25,-0.2663568655344286
25,26,2.4875516521931966
26,27,4.943488636865606
27,28,4.831623275698394
28,29,4.019084615987642
29,30,2.9708376569448838
30,31,1.0695979109100642
31,32,1.0047371092757817
32,33,4.987219325736403
33,34,19.020842752197098
34,35,-20.036810200026725
35,36,-9.696782550029292
36,37,-6.711799775944443
37,38,-4.201085715930562
38,39,-2.587909376774854
39,40,-0.9520086129282741
40,41,-0.3553148382411222
41,42,-0.5148231785856723
42,43,-0.6443237941218938
43,44,-1.635923705993699
44,45,-2.6254411638834565
45,46,-2.563432336438385
46,47,-2.082547531432773
47,48,-3.288844038555778
48,49,-2.5909404429122227
49,50,-2.569703801278339
50,51,-3.000001879197485
51,52,-2.1959751876800673
52,53,-2.5237954199766572
53,54,-2.2080591892777717
54,55,-1.8589861343060714
55,56,-1.7890025845620712
56,57,-2.3155683060733208
57,58,-2.708443492751051
58,59,-3.4206453626653537
59,60,-4.045644685191367
60,61,-5.994742841133679
61,62,-8.818966304885812
62,63,-15.666692088297802
63,64,1.6362311743402143
64,65,9.885203583658777
65,66,4.51092410472712
66,67,2.6030191741454902
67,68,0.5944989047333804
68,69,0.3358777067172356
69,70,-0.2859139718208219
70,71,-0.7782675765701967
71,72,-1.4894703318451479
72,73,-1.3243408251874826
73,74,-1.7373794457646765
74,75,-1.7562199785880757
75,76,-1.5257018875660775
76,77,-1.149487351883273
77,78,-1.8751724804045111
78,79,-1.8136212784124046
79,80,-1.2658029166296463
80,81,-1.21183595183204
81,82,-1.4092331058935899
82,83,-1.1620591846061594
83,84,-1.0183446205026119
84,85,-1.2810382003622145
85,86,-1.9818746843926516
86,87,-1.893070545300168
87,88,-1.2089866549787496
88,89,-1.7865412217160288
89,90,-1.7588565035184491
90,91,-1.4734387619111482
91,92,-1.3589596005457432
92,93,-1.8960997205721815
93,94,-1.6903012442457417
94,95,-1.2029500823914283
95,96,-2.026185590509502
96,97,-1.3822969469218513
97,98,-1.2432265530867974
98,99,-1.662163383572676
99,100,-1.1447856477974403
100,101,-1.236889392248775
101,102,-1.3441598468687352
102,103,-1.2319217175842836
103,104,-1.1643161901277432
104,105,-1.3903474827724085
105,106,-1.6514549410301753
106,107,-1.5071173349289373
107,108,-1.691591221873095
108,109,-1.5239365452321516
109,110,-1.505917151928522
110,111,-1.5832662018090375
111,112,-1.530845617351996
112,113,-1.0774638922520698
113,114,-1.8114454452711604
114,115,-1.2104991420155453
115,116,-1.873532899820515
116,117,-1.1306073504542518
117,118,-1.952405816350248
118,119,-1.2266984838812598
119,120,-1.7155582035776393
120,121,-1.2748778024520182
121,122,-1.4977720249487265
122,123,-1.3937633115166945
123,124,-1.8289568165775931
124,125,-1.1546812925815901
125,126,-1.2404343570243932
126,127,-1.434829758234009
127,128,-1.6839603336119875
128,129,-1.0927341724752553
129,130,-1.2873897168112851
130,131,-2.025668397693549
131,132,-1.7521760137709916
132,133,-1.0620910439201476
133,134,-1.038079457217155
134,135,-1.0636286804369286
135,136,-1.729514370298363
136,137,-1.2835258462105825
137,138,-1.330888196177427
138,139,-1.4392427730519435
139,140,-1.4022980312540323
140,141,-1.908468780542888
141,142,-1.274577574801321
142,143,-1.3956786988826462
143,144,-1.6434759165323443
144,145,-1.1863072301714
145,146,-1.740123590778937
146,147,-1.0301607328992912
147,148,-1.034514516070155
148,149,-1.0174536655440432
149,150,-1.2850210804297557
150,151,-1.1107659264811307
151,152,-1.6046877295583912
152,153,-1.7702629260695293
153,154,-1.0716658392155838
154,155,-1.488041169686481
155,156,-1.6911069621821877
156,157,-1.7522750144480455
157,158,-0.894555856049501
158,159,-0.8890384897400665
159,160,-1.272213372382022
160,161,-0.9930249308376162
161,162,-1.6827496017808976
162,163,-1.2751818689971164
163,164,-0.7678331033753842
164,165,-1.4693700764125064
165,166,-0.7734083922562434
166,167,-1.0661949154015056
167,168,-1.5863228176082198
168,169,-0.9086340050361921
169,170,-1.2298901238729
170,171,-1.0665678333407786
171,172,-0.8963307761367201
172,173,-1.3599811277322145
173,174,-1.0976179897737688
